coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Thunderbolt (1925 roller coaster),,Coney Island,Removed,,,,,,,,1:17,,John A. Miller,,,,,,,,1982,,,,,,,,,,,,,1925,40.5739,-73.9825,Wood,1/1/1925,,,,,,86,ft,,0,
Thunderbolt (Savin Rock),"5,000 ft (1,500 m)",Savin Rock,Removed,Traver Engineering,,,,,,,,,Frank Prior and Frederick Church,,,,,,,,"September 21, 1938",,,,,,,,,,,,,1925,41.257,-72.95,Wood,5/5/1925,,,,,,92,ft,,0,
Crystal Beach Cyclone,"2,953 ft (900 m)",Crystal Beach Park,Removed,Traver Engineering,,,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,2-Sep-46,,,,,,,,,,,,,1926,42.8617,-79.0598,Wood,1/1/1926,60 mph ,97 km/h,60,mph,60,96,ft,,0,4
Sesquicentennial Cyclone,"2,000 ft (610 m)",Sesquicentennial Exposition,Removed,Traver Engineering,,,,,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,Harry G. Traver,,,,,,,,"November 30, 1926",,,,,,,,,,,,,1926,39.9087,-75.1733,Wood,5/31/1926,,,,,,60,ft,,0,
Tornado (Coney Island),"2,970 ft (910 m)",Coney Island,Removed,,,,,"$250,000 ",,,,,,,,,,,Twister,,1977,,,,,,,,,,,,,1926,40.574,-73.979,Wood,1/1/1926,,,,,,71,ft,,0,
Coney Island Cyclone,"2,640 ft (800 m)","Luna Park, Coney Island",Operating,,54 in (137 cm),,Chain-lift,"$175,000 ",,,2:30,1440 riders per hour,Vernon Keenan,58.1°,,,,Giant Racer,Compact Twister,,,,,,,,,,,,,,,1927,40.5742,-73.9778,Other,6/26/1927,60 mph ,97 km/h,60,mph,60,85,ft,,0,3.75
Crystal Beach Cyclone,"2,953 ft (900 m)",Crystal Beach Park,Removed,Traver Engineering,,,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,2-Sep-46,,,,,,,,,,,,,1927,42.8617,-79.0598,Wood,1/1/1926,60 mph ,97 km/h,60,mph,60,96,ft,,0,4
Cyclone (Palisades Amusement Park),,Palisades Amusement Park,Removed,Traver Engineering,,Giant Cyclone Safety Coaster,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,Harry G. Traver,,,,,,,,1934,,,,,,,,,,,,,1927,40.8281,-73.9778,Wood,9/10/1927,,,,,,,,,0,
Lightning (Revere Beach),,Revere Beach,Removed,Traver Engineering,,Giant Cyclone Safety Coaster,,,,,,,Harry G. Traver,,,,,,,,1933,,,,,,,,,,,,,1927,42.42,-70.986,Wood,7/2/1927,,,,,,,,,0,
Racer (Kennywood),"4,500 ft (1,400 m)",Kennywood,Operating,Charlie Mach,46 in (117 cm),Racing,Chain lift,"$75,000 ",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,1927,40.3869,-79.8619,Wood,1/1/1927,40 mph ,64 km/h,40,mph,40,72.5,ft,,0,
Wildcat (Lake Compounce),"2,746 ft (837 m)",Lake Compounce,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain Lift Hill,,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,1:15,,Herbert Paul Schmeck and Dinn Corporation,,78 ft (24 m),,,Green Dragon,,,,,,,,,,,,,,,,1927,41.6408,-72.9231,Wood,1/1/1927,48 mph ,77 km/h,48,mph,48,85,ft,,0,
Zip (roller coaster),"2,500 ft (760 m)",Oaks Amusement Park,Removed,Traver Engineering,,,,,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,,between 1 minute 20 seconds and 1 minute 30 seconds,,Harry G. Traver,,,,,,,,1934,,,,,,,,,,,,,1927,45.473,-122.6606,Wood,1/1/1927,,,,,,60,ft,,0,
Airplane Coaster,"3,500 ft (1,100 m)",Playland,Removed,Frank W. Darling,,,,"$200,000 ",10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,Frederick Church,,,,,,,,Nov-57,,,,,,,,,,,,,1928,40.9658,-73.6739,Wood,5/26/1928,40 mph ,64 km/h,40,mph,40,92,ft,,0,
Montaña Suiza,"1,312.3 ft (400.0 m)",Monte Igueldo Amusement Park,Operating,,,,Cable-lift,,,,1:30,,Erich Heidrich,,,,,,Terrain,,,,,,,,,,,,,,,1928,43.3207,-2.0107,Other,1/1/1928,31 mph ,50 km/h,31,mph,31,32,ft,,0,
Dragon Coaster (Playland),"1,036 m (3,399 ft)",Playland,Operating,,48 in (122 cm),,Chain lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,,Frederick Church,,23 m (75 ft),,,,Out & back,,,,,,,,,,,,,,,1929,40.9675,-73.6739,Wood,1/1/1929,,,,,,24,m,78.7,0,
Flying Turns (Euclid Beach Park),,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1930,41.58,-81.57,Other,,,,,,,,,,0,
Yankee Cannonball,"609.6 m (2,000 ft)",Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,,,Chainlift,,,,,,Herbert Paul Schmeck,,19.4 m (64 ft),,,,,,,,,,,,,,,,,,,1930,42.7953,-71.2492,Wood,1/1/1930,56.3 km/h ,35.0 mph,56.3,km/h,35,19.8,m,65,0,
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",Great Yarmouth Pleasure Beach,Operating,,,,Chain lift hill,,,,3:10,600 riders per hour,Erich Heidrich,35°,51 ft (16 m),,,,Triple out and back,,,,,,,,,,,,,,,1932,52.5928,1.7361,Wood,5/1/1932,45 mph ,72 km/h,45,mph,45,70,ft,,0,
Nickelodeon Streak,"2,293 ft (699 m)",Blackpool Pleasure Beach,Operating,,46 in (117 cm),,Chain,,Single train with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,Nickelodeon Land,1:44,,Charles Paige,,,,,,,,,,,,,,,,,,,,,1933,53.7908,-3.0544,Wood,1/1/1933,35 mph ,56 km/h,35,mph,35,61,ft,,0,3
Zipper Dipper,,Blackpool Pleasure Beach,Operating,,,,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Nickelodeon Land,1:00,,Charlie Paige,,,,,,,,,,,,,,,,,,,,,1934,53.7902,-3.0539,Other,1/1/1934,,,,,,15,ft,,0,
Big Dipper (Luna Park Sydney),"2,623 ft (799 m)",Other,,,,,Chain,,,,3 min (approx),,,45°,,,,,Wood,,,,,,,,,,,,,,,1935,,,Wood,,58 mph ,93 km/h,58,mph,58,52,ft,,0,
Grand National (roller coaster),"3,302 ft (1,006 m)",Blackpool Pleasure Beach,Closed,,46 in (117 cm),Racing,Chain lift,,4 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20[1],,Charles Paige,39°,54 ft (16 m),,,,Möbius Loop,,,,,,,,,,,,,,,1935,53.7919,-3.0531,Wood,1/1/1935,40 mph ,64 km/h,40,mph,40,62,ft,,0,3.2
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",Conneaut Lake Park,Closed,,,Out and Back roller coaster,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,1937,41.6349,-80.318,Wood,5/23/1938,50 mph ,80 km/h,50,mph,50,77,ft,,0,
Derby Racer,,Revere Beach,Removed,Fred W. Pearce,,,,"$140,000 ",,,,,,,,,,,Figure Eight,,1936,,,,,,,,,,,,,1937,42.42,-70.986,Wood,1/1/1911,,,,,,,,,0,
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",Conneaut Lake Park,Closed,,,Out and Back roller coaster,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,1938,41.6349,-80.318,Wood,5/23/1938,50 mph ,80 km/h,50,mph,50,77,ft,,0,
Rollo Coaster,900 ft (270 m),Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,42 in (107 cm),,Chain lift,,,,1:15,,Herbert Paul Schmeck,,25 ft (7.6 m),,,,Out and Back,,,,,,,,,,,,,,,1938,40.2602,-79.2814,Wood,1/1/1938,25 mph ,40 km/h,25,mph,25,27,ft,,0,
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",Lakeside Amusement Park,Operating,,48 in (122 cm),,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:00,"1,100 riders per hour",Edward A. Vettel,50°,80 ft (24 m),,,,Terrain,,,,,,,,,,,,,,,1940,39.7808,-105.054,Wood,5/17/1940,55 mph ,89 km/h,55,mph,55,80,ft,,0,
Flyer Comet (Whalom Park),"2,640 ft (800 m)",Whalom Park,Removed,National Amusement Devices,,,,,,,1:50,,Vernon Keenan,,,,,,,,2000,,,,,,,,,,,,,1940,42.5762,-71.746,Wood,1/1/1940,40 mph ,64 km/h,40,mph,40,70,ft,,0,
Giant Skyrocket,"6,600 ft (2,000 m)",Other,,Lake Contrary Amusement Park,,,,"$75,000 ",,,,,Audley Ingersoll,,90 ft (27 m),,,,,,,,,,,,,,,,,,,1941,,,Wood,,,,,,,110,ft,,0,
Thunderbolt (Six Flags New England),"2,600 ft (790 m)",Six Flags New England,Operating,Joseph E. Drambour,48 in (122 cm),,,,,,1:00,,"Harry C. Baker, Harry G Traver",,,,,,Figure Eight,,,,,,Flash Pass Available,,,,,,,,,1941,42.0389,-72.6133,Wood,1/1/1941,40 mph ,64 km/h,40,mph,40,70,ft,,0,
Comet (Hersheypark),"3,360 ft (1,020 m)",Hersheypark,Operating,Philadelphia Toboggan Coasters,42 in (107 cm),,Chain lift hill,,,The Hollow,1:45,950 riders per hour,Herbert Paul Schmeck,47°,78 ft (24 m),,,,Modified Double Out and Back,,,,,,,,,,,,,,,1946,40.2864,-76.6556,Wood,1/1/1946,50 mph ,80 km/h,50,mph,50,84,ft,,0,
Comet (Lincoln Park),"3,000 ft (910 m)",Lincoln Park,Removed,National Amusement Devices,,,Chain lift,,,,2:10,,"Edward Leis, Vernon Keenan",,,,,,,,"September 29, 1987",,,,,,,,,,,,,1946,41.6362,-71.0432,Wood,10/1/1946,55 mph ,89 km/h,55,mph,55,65,ft,,0,
Little Dipper (Conneaut Lake Park),,Conneaut Lake Park,Operating,Allan Herschell Company,,Little Dipper,Chain lift hill,,,,,,,,,,,,Oval,,,,,,,,,,,,,,,1950,41.6343,-80.3165,Steel,1/1/1950,,,,,,,,,0,
Little Dipper (Six Flags Great America),700 ft (210 m),Other,,Philadelphia Toboggan Coasters,,Junior Coaster,Chain lift hill,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Yukon Territory,0:50,,Herbert Schmeck,,24 ft (7.3 m),,,,,,"September 27, 2009",,,,,Must transfer from wheelchair,,,,,,,,1950,,,Wood,,25 mph ,40 km/h,25,mph,25,28,ft,,0,
Big Dipper (Battersea Park),"1,200 m (3,900 ft)",Battersea Park,Removed,,,,Rope lift,,3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,,,,,,,,,,,30 May 1972,,,,,,,,,,,,,1951,51.4794,-0.1569,Wood,1/1/1951,,,,,,15,m,49.2,0,
Comet (Waldameer),"1,300 ft (400 m)",Waldameer Park,Operating,Philadelphia Toboggan Coasters,46 in (117 cm),,Chain,,,,1:24,,Herbert Paul Schmeck,,25 ft (7.6 m),,,,Wood,,,,,,,,,,,,,,,1951,42.1077,-80.1568,Wood,1/1/1951,25 mph ,40 km/h,25,mph,25,37,ft,,0,
Vuoristorata,"960 m (3,150 ft)",Linnanmäki,Operating,"Linnanmäki, led by Svend Jarlström",140 cm (4 ft 7 in),,Cable lift hill,"48 million FIM (1951);[1]1.62 million EUR (in 2021 euros, inflation-adjusted)[2]","4 trains with 4 cars. Riders are arranged 2 across in 3 rows, except for the brakeman's car at the back in 2 rows, for a total of 22 riders per train.",,2:15[4],"1,320 riders per hour",Valdemar Lebech[3],,,,,,,,,,,,,,,,,,,,,1951,60.1886,24.9417,Wood,7/13/1951,60 km/h ,37 mph,60,km/h,37.3,24,m,78.7,0,
Little Dipper (Memphis Kiddie Park),,Memphis Kiddie Park,Operating,Allan Herschell Company,,Little Dipper,Chain lift hill,,,,,,The Allan Herschell Company,,,,,,,,,,,,,,,,,,,,,1952,41.4405,-81.7577,Steel,4/1/1952,,,,,,,,,0,
High Speed Thrill Coaster,200 ft (61 m),Knoebels Amusement Resort,Removed,,42 in (107 cm),,Chain lift hill,,,,,,Overland Amusement Company,,12 ft (3.7 m),,,,Oval,,2008,,Kozmo's Kurves,,,,,,,,,,,1955,40.8801,-76.5027,Steel,1/1/1955,,,,,,18,ft,,0,
Sea Dragon (roller coaster),"1,320 ft (400 m)",Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,42 in (107 cm),,Chain lift hill,,,,1:30,640 riders per hour,John C. Allen,45°,,,,,Figure Eight,,,,,,,,,,,,,,,1956,40.1544,-83.1203,Wood,1/1/1956,25 mph ,40 km/h,25,mph,25,37,ft,,0,
Big Dipper (Camden Park),,Camden Park,Operating,National Amusement Devices,,,,,,,1:40,,,,,,,,,,,,,,,,,,,,,,,1958,,,Other,1/1/1958,,,,,,,,,0,
Wild Mouse (Blackpool Pleasure Beach),"1,266 ft (386 m)",Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,52 in (132 cm),,,,,,1min 30sec,,Frank Wright,,,,,,,,2017,,,,,,,,,,,,,1958,53.7913,-3.0561,Wood,1/1/1958,35 mph ,56 km/h,35,mph,35,50,ft,,0,1.8
Wooden Roller Coaster (Playland),"2,840 ft (870 m)",Playland,Not Currently Operating,,48 in (122 cm),Twister[1],Chain lift hill,"$200,000 ",2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,,"Carl Phare, Walker LeRoy",,67 ft (20 m),,,,,,,,,Official website,,,,,,,,,,1958,49.2824,-123.0352,Wood,1/1/1958,80 km/h ,50 mph,80,km/h,49.7,75,ft,,0,
Matterhorn Bobsleds,"2,037 ft (620.9 m)",Other,Operating,Arrow Development,42 in (107 cm),Special Coaster Systems,Chain lift hill,,20 trains with 2 cars. Riders are arranged 1 across in 3 rows for a total of 6 riders per train.,Fantasyland,2:07,,WED Enterprises,,,,,,Dual-tracked,,,,,,,Must transfer from wheelchair,Swiss mountain,Single rider line available,,,,,,1959,,,Steel,6/14/1959,27 mph ,43.5 km/h,27,mph,27,80,ft,,0,
Tornado (Wedgewood Village Amusement Park),,"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",Closed,,,,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,1961,,,Other,,,,,,,,,,0,
